City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
258,antsiranana,-12.2787,49.2917,23.98,89,97,4.37,MG,1698275443
259,eastham,41.8301,-69.9739,16.73,76,0,5.14,US,1698275444
260,yamada,39.4667,141.95,15.46,77,28,2.43,JP,1698275445
261,ta khmau,11.4833,104.95,27.03,100,75,2.57,KH,1698275447
262,vila franca do campo,37.7167,-25.4333,22.16,99,93,3.53,PT,1698275448
263,acarau,-2.8856,-40.12,25.64,80,18,6.99,BR,1698275449
264,ponta delgada,37.7333,-25.6667,22.33,94,75,8.23,PT,1698275451
265,coahuayana de hidalgo,18.7,-103.6583,27.93,74,100,1.97,MX,1698275452
266,digapahandi,19.3667,84.5833,23.46,86,61,0.87,IN,1698275453
267,melioratorov,57.2107,65.6077,-3.79,86,75,5.0,RU,1698275454
268,selty,57.3132,52.1345,-8.04,97,39,2.31,RU,1698275456
269,istgah-e rah ahan-e garmsar,35.2346,52.3094,19.09,36,49,1.29,IR,1698275457
270,nuuk,64.1835,-51.7216,1.34,64,75,4.12,GL,1698275458
271,klaksvik,62.2266,-6.589,9.51,89,85,9.43,FO,1698275459
272,nyandoma,61.669,40.1991,-4.06,97,80,1.76,RU,1698275460
273,kalmunai,7.4167,81.8167,25.07,85,23,1.14,LK,1698275461
274,padre paraiso,-17.0742,-41.4844,25.4,52,81,3.13,BR,1698275463
275,ust'-ilimsk,58.0006,102.6619,1.36,52,100,4.47,RU,1698275464
276,rongelap,11.1635,166.8941,28.09,75,75,6.15,MH,1698275465
277,ola,59.5833,151.2833,-8.81,66,2,3.34,RU,1698275466
278,vikhorevka,56.1201,101.1636,2.77,92,100,2.55,RU,1698275467
279,ramos arizpe,25.55,-100.9667,27.45,57,54,3.69,MX,1698275469
280,fada,9.5667,8.3,21.24,79,96,0.83,NG,1698275470
281,kaliua,-5.0606,31.7936,20.05,84,92,2.38,TZ,1698275471
282,aykhal,66.0,111.5,-15.14,100,98,3.7,RU,1698275472
283,antofagasta,-23.65,-70.4,16.39,78,38,3.05,CL,1698275473
284,ribeira grande,38.5167,-28.7,18.21,79,100,4.47,PT,1698275474
285,urbano santos,-3.2078,-43.4036,25.22,76,38,3.06,BR,1698275476
286,berdigestyakh,62.0989,126.6992,-13.94,100,97,1.29,RU,1698275477
287,gandajika,-6.75,23.95,21.53,87,97,0.83,CD,1698275478
288,petrovsk-zabaykal'skiy,51.273,108.843,-3.33,76,98,1.29,RU,1698275479
289,levuka,50.1834,-105.4011,-5.78,81,100,3.42,CA,1698275481
290,shar'ya,58.3686,45.5144,-2.79,85,97,1.79,RU,1698275483
291,pointe-noire,-4.7761,11.8635,25.04,94,75,2.57,CG,1698275484
292,babu,24.4167,111.5167,23.03,86,11,0.68,CN,1698275485
293,lompoc,34.6391,-120.4579,23.34,69,14,7.15,US,1698275486
294,sur,22.5667,59.5289,26.14,66,12,4.8,OM,1698275487
295,victorica,-36.2151,-65.4359,20.34,35,80,2.98,AR,1698275489
296,bucerias,20.75,-105.3333,29.99,62,75,1.54,MX,1698275308
297,arkhangel'sk,64.5401,40.5433,1.18,83,68,1.29,RU,1698275491
298,souillac,-20.5167,57.5167,23.21,88,20,1.54,MU,1698275492
299,jaciara,-15.9653,-54.9683,25.88,66,100,0.85,BR,1698275493
300,new ulm,44.3125,-94.4605,13.02,93,100,0.0,US,1698275495
301,bois-guillaume,49.4602,1.1222,10.37,91,0,2.57,FR,1698275496
302,la sarre,48.8002,-79.1996,5.51,93,100,1.97,CA,1698275497
303,khandyga,62.6667,135.6,-13.85,88,100,1.24,RU,1698275499
304,villa gesell,-37.2639,-56.973,10.8,72,0,4.06,AR,1698275500
305,cartagena,10.3997,-75.5144,27.79,83,20,2.06,CO,1698275402
306,kayangel,8.0823,134.7173,28.75,75,78,3.87,PW,1698275502
307,nogliki,51.8333,143.1667,3.52,64,64,2.24,RU,1698275503
308,gadzhiyevo,69.2551,33.3362,-3.75,86,90,5.12,RU,1698275504
309,ugoofaaru,5.6667,73.0,27.72,75,80,3.04,MV,1698275505
310,carutapera,-1.195,-46.02,26.01,76,73,4.91,BR,1698275507
311,canutama,-6.5339,-64.3831,25.31,84,79,0.9,BR,1698275508
312,carnarvon,-24.8667,113.6333,20.54,76,0,8.44,AU,1698275509
313,suwayr,30.1171,40.3893,20.52,50,0,3.36,SA,1698275510
314,moab,38.5733,-109.5498,23.05,20,0,0.45,US,1698275511
315,aswan,24.0934,32.907,29.43,33,0,3.51,EG,1698275512
316,rawson,-43.3002,-65.1023,20.46,23,2,4.54,AR,1698275514
317,bambanglipuro,-7.95,110.2833,24.88,88,10,1.02,ID,1698275515
318,don luan,11.5333,106.9167,24.97,96,22,1.25,VN,1698275516
319,lorengau,-2.0226,147.2712,26.3,82,100,1.44,PG,1698275517
320,recreo,-29.2818,-65.061,19.7,65,98,5.09,AR,1698275518
321,capitao poco,-1.7464,-47.0594,26.39,65,96,4.2,BR,1698275223
322,kumagunnam,13.1551,10.6342,26.82,16,18,4.38,NG,1698275520
323,gustavsberg,59.3268,18.3898,4.43,77,100,6.39,SE,1698275522
324,filey,54.21,-0.2892,10.82,94,100,2.12,GB,1698275523
325,linxia chengguanzhen,35.6003,103.2064,8.03,81,99,1.31,CN,1698275524
326,phek,25.6667,94.5,13.23,99,100,0.34,IN,1698275526
327,mengcheng chengguanzhen,33.2661,116.566,17.03,71,4,2.45,CN,1698275527
328,bryan,30.6744,-96.37,29.37,67,75,3.09,US,1698275529
329,mareeba,-17.0,145.4333,25.82,35,57,0.63,AU,1698275530
330,morehead city,34.7229,-76.726,20.56,81,0,1.54,US,1698275531
331,santa cruz,-17.8,-63.1667,31.03,58,75,3.6,BO,1698275532
332,sola,-13.8833,167.55,26.25,79,98,1.78,VU,1698275533
333,new norfolk,-42.7826,147.0587,10.51,62,81,3.75,AU,1698275535
334,filadelfia,39.9523,-75.1638,20.57,55,38,0.45,US,1698275498
335,bandarbeyla,9.4942,50.8122,27.11,81,99,4.3,SO,1698275537
336,northam,51.0333,-4.2167,12.59,94,100,6.37,GB,1698275538
337,tralee,52.2704,-9.7026,8.84,95,44,2.53,IE,1698275539
338,forest,37.3638,-79.2897,18.47,39,0,0.0,US,1698275540
339,mount gambier,-37.8333,140.7667,11.93,60,70,4.59,AU,1698275541
340,kampung sungai ara,5.327,100.2735,26.11,89,20,0.0,MY,1698275543
341,guarapari,-20.6667,-40.4975,23.27,94,100,4.14,BR,1698275545
342,antalaha,-14.9003,50.2788,23.75,91,81,1.86,MG,1698275546
343,mancio lima,-7.6142,-72.8958,29.08,61,73,1.86,BR,1698275547
344,katsuura,35.1333,140.3,17.75,69,0,4.81,JP,1698275549
345,fernie,49.5,-115.0687,-4.62,62,99,1.85,CA,1698275550
346,constitucion,-35.3333,-72.4167,12.57,78,18,4.27,CL,1698275552
347,al fqih ben calah,32.5009,-6.6906,19.56,47,2,2.24,MA,1698275553
348,dolinsk,47.35,142.8,10.96,88,97,1.44,RU,1698275356
349,yakeshi,49.2833,120.7333,-5.35,43,0,3.62,CN,1698275555
350,badger,64.8,-147.5333,2.06,79,75,3.09,US,1698275556
351,murzuq,25.9155,13.9184,25.05,23,100,2.35,LY,1698275558
352,lucapa,-8.4192,20.7447,18.63,96,100,2.7,AO,1698275560
353,chos malal,-37.3781,-70.2709,21.07,20,0,1.9,AR,1698275561
354,la passe,45.5549,-0.8967,18.13,86,100,8.39,FR,1698275563
355,crucecita,-28.95,-58.9833,18.14,75,51,2.72,AR,1698275565
356,kindu,-2.95,25.95,21.09,97,76,0.37,CD,1698275566
357,bratsk,56.1325,101.6142,2.27,86,100,4.51,RU,1698275567
358,kavaratti,10.5669,72.642,28.04,70,8,0.42,IN,1698275568
359,bereeda,11.8704,51.0579,27.24,80,84,5.07,SO,1698275569
